CO_CNES;NO_FANTASIA;TP_UNIDADE;DS_TP_UNIDADE;CO_MUNICIPIO;NO_MUNICIPIO;CO_UF
9000001;Hospital Fictício Rio Branco Centro;05;Hospital Geral;120040;Rio Branco;AC
9000002;UPA Fictícia Rio Branco Norte;73;Pronto Socorro Especializado;120040;Rio Branco;AC
9000003;UBS Fictícia Rio Branco Sul;02;Posto de Saúde;120040;Rio Branco;AC
9000004;Clínica Fictícia Vida Nova;39;Clínica Especializada;120040;Rio Branco;AC
9000005;Policlínica Fictícia Rio Branco;02;Posto de Saúde;120040;Rio Branco;AC
9000006;Consultório Fictício Dr. Silva;02;Posto de Saúde;120040;Rio Branco;AC
9000007;Hospital Fictício Cruzeiro do Sul;05;Hospital Geral;120020;Cruzeiro do Sul;AC
9000008;UBS Fictícia Cruzeiro do Sul Leste;02;Posto de Saúde;120020;Cruzeiro do Sul;AC
9000009;UPA Fictícia Cruzeiro do Sul;73;Pronto Socorro Especializado;120020;Cruzeiro do Sul;AC
9000010;UBS Fictícia Brasiléia;02;Posto de Saúde;120010;Brasiléia;AC
9000011;Hospital Fictício Sena Madureira;05;Hospital Geral;120050;Sena Madureira;AC
9000012;UBS Fictícia Sena Madureira Centro;02;Posto de Saúde;120050;Sena Madureira;AC
9000013;Consultório Fictício Odontológico Xapuri;02;Posto de Saúde;120070;Xapuri;AC
9000014;Hospital Fictício Boa Vista Central;05;Hospital Geral;140010;Boa Vista;RR
9000015;Hospital Fictício Boa Vista Norte;05;Hospital Geral;140010;Boa Vista;RR
9000016;UPA Fictícia Boa Vista Aeroporto;73;Pronto Socorro Especializado;140010;Boa Vista;RR
9000017;UBS Fictícia Boa Vista Cauamé;02;Posto de Saúde;140010;Boa Vista;RR
9000018;UBS Fictícia Boa Vista Pintolândia;02;Posto de Saúde;140010;Boa Vista;RR
9000019;Clínica Fictícia Vida Plena Boa Vista;39;Clínica Especializada;140010;Boa Vista;RR
9000020;Policlínica Fictícia Boa Vista;02;Posto de Saúde;140010;Boa Vista;RR
9000021;Consultório Fictício Dr. Souza;02;Posto de Saúde;140010;Boa Vista;RR
9000022;UBS Fictícia Amajari;02;Posto de Saúde;140002;Amajari;RR
9000023;UBS Fictícia Bonfim;02;Posto de Saúde;140015;Bonfim;RR
9000024;Hospital Fictício Bonfim Regional;05;Hospital Geral;140015;Bonfim;RR
9000025;UBS Fictícia Caracaraí;02;Posto de Saúde;140020;Caracaraí;RR
9000026;UPA Fictícia Caracaraí;73;Pronto Socorro Especializado;140020;Caracaraí;RR
9000027;UBS Fictícia Mucajaí;02;Posto de Saúde;140030;Mucajaí;RR
9000028;Consultório Fictício Dra. Lima;02;Posto de Saúde;140010;Boa Vista;RR
9000029;Clínica Fictícia Odonto Rio Branco;39;Clínica Especializada;120040;Rio Branco;AC
9000030;Hospital Fictício Xapuri Regional;05;Hospital Geral;120070;Xapuri;AC
